Country Name,Country Code,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Central Europe and the Baltics,CEB,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Contraceptive prevalence, modern methods (% of women ages 15-49)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Immunization, DPT (% of children ages 12-23 months)",96.61449537,96.88521359,95.0093446,93.64359584,95.82321747,96.26579895,96.72537356,96.90719552,97.0868968,97.18346876,97.48151487,97.67484105,97.80361944,97.66836073,97.7852547,97.80594171,97.79276852,97.68252407,97.71596458,97.48507183,97.19448887,96.14279612,96.57703703,96.66403201,95.97764766,95.1802865,95.20858874,93.14615138,93.55432475,94.13122027,
Central Europe and the Baltics,CEB,"Immunization, HepB3 (% of one-year-old children)",,,,,,,,,95.30773526,98.5672161,98.11186215,96.10068321,96.20782712,96.71984096,97.71806584,97.88618771,97.85312437,97.71111708,97.50258571,97.02020328,97.55793279,97.14134964,96.61104248,96.21297841,95.67020517,94.2716544,93.75337379,93.13193018,92.24520781,91.82672654,
Central Europe and the Baltics,CEB,"Immunization, measles (% of children ages 12-23 months)",94.85797403,94.31668073,93.58807648,93.72792331,94.35633198,95.07074146,96.34423011,96.35305425,96.58929142,97.16487638,96.70396728,96.88666288,97.50425329,97.07219951,97.10656218,97.4476427,97.41160648,97.56648109,97.2657384,97.20015801,97.11796681,96.48081109,96.54445894,96.33663335,95.18768675,94.10869686,93.81352919,93.21236022,93.49080921,93.14338814,
Central Europe and the Baltics,CEB,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Incidence of malaria (per 1,000 population at risk)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Incidence of tuberculosis (per 100,000 people)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,20,19,17,16,15,14,13,12,12,11,11,10,9,9,9,9,9,8,,,
Central Europe and the Baltics,CEB,"Mortality rate, neonatal (per 1,000 live births)",11.06571291,10.79353327,10.5541758,10.24156504,9.845368711,9.331482612,8.785380281,8.144480251,7.539351285,6.960272976,6.534247448,6.173357924,5.931627599,5.704124315,5.433974629,5.126006846,4.809310647,4.472151287,4.183278547,3.979803131,3.77310848,3.616284227,3.464141256,3.329469084,3.165575735,3.022678315,2.878522366,2.787029072,2.725346634,2.613773267,
Central Europe and the Baltics,CEB,"Mortality rate, under-5 (per 1,000 live births)",19.39519495,18.75486759,18.23938803,17.6647135,16.98773534,16.24786298,15.47382358,14.69014245,13.83189195,12.97194582,12.1947113,11.62685874,11.22882419,10.86666951,10.42100388,9.910224153,9.294787485,8.704453583,8.160208002,7.688355182,7.340765696,6.987830214,6.650880501,6.326148622,6.003125161,5.704510493,5.47863357,5.271214525,5.025752256,4.821004159,
Central Europe and the Baltics,CEB,"Mortality rate, under-5, female (per 1,000 live births)",17.06540436,16.58323398,16.15825208,15.68925217,15.12124079,14.4674195,13.78759295,13.09994628,12.38304035,11.58874186,10.89863161,10.39902433,10.05876868,9.713530944,9.340805446,8.83995935,8.347540775,7.826385564,7.322826123,6.894293478,6.575201875,6.250631209,5.975619542,5.689026157,5.44467606,5.158593652,4.940658499,4.743091114,4.556387636,4.35495498,
