Location,Indicator,Indicator units,Age,Year,Mean estimate,Sex,Scenario type
Afghanistan,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2000,1450,All sexes,Reference
Afghanistan,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2001,1390,All sexes,Reference
Afghanistan,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2002,1300,All sexes,Reference
Afghanistan,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2003,1240,All sexes,Reference
Afghanistan,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2004,1180,All sexes,Reference
Afghanistan,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2005,1140,All sexes,Reference
Afghanistan,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2006,1120,All sexes,Reference
Afghanistan,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2007,1090,All sexes,Reference
Afghanistan,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2008,1030,All sexes,Reference
Afghanistan,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2009,993,All sexes,Reference
Afghanistan,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2010,954,All sexes,Reference
Afghanistan,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2011,905,All sexes,Reference
Afghanistan,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2012,858,All sexes,Reference
Afghanistan,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2013,810,All sexes,Reference
Afghanistan,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2014,786,All sexes,Reference
Afghanistan,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2015,701,All sexes,Reference
Afghanistan,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2016,673,All sexes,Reference
Afghanistan,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2017,638,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,1990,177.663144124116,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,1991,171.683346629931,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,1992,165.930001911528,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,1993,160.387419381719,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,1994,155.182587485482,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,1995,150.293794661521,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,1996,145.644633656577,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,1997,141.22369626686,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,1998,136.931607625173,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,1999,132.779277653596,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,2000,128.691267436494,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,2001,124.584844779885,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,2002,120.430040356567,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,2003,116.272988743895,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,2004,112.080037462644,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,2005,107.890921464424,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,2006,103.678861703617,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,2007,99.5315994894142,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,2008,95.4048755677505,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,2009,91.4310932916503,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,2010,87.6213699549722,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,2011,83.9090653626977,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,2012,80.3391663931096,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,2013,76.8304618495181,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,2014,73.5802670343177,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,2015,70.4448020128811,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,2016,67.5721899133258,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,2017,64.9407593926242,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,2018,62.5411960371578,All sexes,Reference
Afghanistan,"Mortality rate, under-5","per 1,000 live births",0-5 years,2019,60.2693988605884,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,1990,25,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,1991,23,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,1992,21,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,1993,18,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,1994,12,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,1995,20,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,1996,31,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,1997,28,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,1998,27,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,1999,27,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,2000,24,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,2001,33,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,2002,36,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,2003,41,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,2004,50,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,2005,58,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,2006,58,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,2007,63,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,2008,64,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,2009,63,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,2010,66,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,2011,68,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,2012,67,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,2013,64,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,2014,62,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,2015,64,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,2016,66,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,2017,66,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,2018,72,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,2019,72,All sexes,Reference
Afghanistan,"Immunization, DPT",% of children,12-23 months,2020,70,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1990,74.3106808759274,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1991,72.903386689732,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1992,71.4308851838076,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1993,69.910170489259,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1994,68.4419728025324,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1995,67.0496487327047,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1996,65.6711042996279,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1997,64.3448050599763,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1998,63.0721425674958,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1999,61.8501910572173,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2000,60.6272713074039,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2001,59.4358529320748,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2002,58.2014203909102,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2003,56.9443509835975,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2004,55.6444087166234,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2005,54.2682657036232,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2006,52.8925771107716,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2007,51.4963806621042,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2008,50.0950646125194,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2009,48.6372852564411,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2010,47.2008855282342,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2011,45.7621040216703,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2012,44.3712412138299,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2013,42.9949015376194,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2014,41.6160839689069,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2015,40.2705179793792,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2016,39.0522722480316,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2017,37.9775952799964,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2018,36.8931752050498,All sexes,Reference
Afghanistan,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2019,35.8628812848238,All sexes,Reference
Afghanistan,People using at least basic sanitation services,% of population,all,2000,21.870802,All sexes,Reference
Afghanistan,People using at least basic sanitation services,% of population,all,2001,21.881304,All sexes,Reference
Afghanistan,People using at least basic sanitation services,% of population,all,2002,23.274193,All sexes,Reference
Afghanistan,People using at least basic sanitation services,% of population,all,2003,24.667435,All sexes,Reference
Afghanistan,People using at least basic sanitation services,% of population,all,2004,26.067696,All sexes,Reference
Afghanistan,People using at least basic sanitation services,% of population,all,2005,27.475416,All sexes,Reference
Afghanistan,People using at least basic sanitation services,% of population,all,2006,28.884039,All sexes,Reference
Afghanistan,People using at least basic sanitation services,% of population,all,2007,30.374641,All sexes,Reference
Afghanistan,People using at least basic sanitation services,% of population,all,2008,31.873854,All sexes,Reference
Afghanistan,People using at least basic sanitation services,% of population,all,2009,33.381863,All sexes,Reference
Afghanistan,People using at least basic sanitation services,% of population,all,2010,34.898846,All sexes,Reference
Afghanistan,People using at least basic sanitation services,% of population,all,2011,36.425148,All sexes,Reference
Afghanistan,People using at least basic sanitation services,% of population,all,2012,37.960808,All sexes,Reference
Afghanistan,People using at least basic sanitation services,% of population,all,2013,39.506016,All sexes,Reference
Afghanistan,People using at least basic sanitation services,% of population,all,2014,41.060966,All sexes,Reference
Afghanistan,People using at least basic sanitation services,% of population,all,2015,42.626022,All sexes,Reference
Afghanistan,People using at least basic sanitation services,% of population,all,2016,44.201218,All sexes,Reference
Afghanistan,People using at least basic sanitation services,% of population,all,2017,45.789127,All sexes,Reference
Afghanistan,People using at least basic sanitation services,% of population,all,2018,47.390663,All sexes,Reference
Afghanistan,People using at least basic sanitation services,% of population,all,2019,49.006168,All sexes,Reference
Afghanistan,People using at least basic sanitation services,% of population,all,2020,50.499645,All sexes,Reference
Afghanistan,"Immunization, HepB3",% of one-year-old children,12-23 months,2007,63,All sexes,Reference
Afghanistan,"Immunization, HepB3",% of one-year-old children,12-23 months,2008,64,All sexes,Reference
Afghanistan,"Immunization, HepB3",% of one-year-old children,12-23 months,2009,63,All sexes,Reference
Afghanistan,"Immunization, HepB3",% of one-year-old children,12-23 months,2010,66,All sexes,Reference
Afghanistan,"Immunization, HepB3",% of one-year-old children,12-23 months,2011,68,All sexes,Reference
Afghanistan,"Immunization, HepB3",% of one-year-old children,12-23 months,2012,67,All sexes,Reference
Afghanistan,"Immunization, HepB3",% of one-year-old children,12-23 months,2013,64,All sexes,Reference
Afghanistan,"Immunization, HepB3",% of one-year-old children,12-23 months,2014,62,All sexes,Reference
Afghanistan,"Immunization, HepB3",% of one-year-old children,12-23 months,2015,64,All sexes,Reference
Afghanistan,"Immunization, HepB3",% of one-year-old children,12-23 months,2016,66,All sexes,Reference
Afghanistan,"Immunization, HepB3",% of one-year-old children,12-23 months,2017,66,All sexes,Reference
Afghanistan,"Immunization, HepB3",% of one-year-old children,12-23 months,2018,72,All sexes,Reference
Afghanistan,"Immunization, HepB3",% of one-year-old children,12-23 months,2019,72,All sexes,Reference
Afghanistan,"Immunization, HepB3",% of one-year-old children,12-23 months,2020,70,All sexes,Reference
Afghanistan,"Contraceptive prevalence, modern methods",% of women,15-49,2016,42.2,All sexes,Reference
Albania,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2000,23,All sexes,Reference
Albania,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2001,23,All sexes,Reference
Albania,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2002,21,All sexes,Reference
